"date","count"
"2016-05-03","17"
"2016-02-08","5"
"2016-08-16","1"
"2016-04-18","3"
"2016-03-12","8"
"2016-07-17","1"
"2016-03-03","8"
"2016-08-22","3"
"2016-09-23","4"
"2016-08-12","4"
"2016-09-01","11"
"2016-07-01","7"
"2016-05-06","3"
"2016-01-11","8"
"2016-08-09","10"
"2016-05-28","2"
"2016-08-20","7"
"2016-02-27","7"
"2016-06-28","6"
"2016-08-19","5"
"2016-08-13","3"
"2016-01-21","6"
"2016-08-10","5"
"2016-03-28","2"
"2016-05-02","9"
"2016-06-08","12"
"2016-03-22","18"
"2016-01-12","4"
"2016-09-05","6"
"2016-02-04","2"
"2016-08-08","5"
"2016-09-08","18"
"2016-04-30","5"
"2016-09-09","6"
"2016-02-02","3"
"2016-05-21","3"
"2016-05-04","1"
"2016-04-28","3"
"2016-08-31","3"
"2016-03-23","6"
"2016-06-22","4"
"2016-05-27","5"
"2016-08-02","10"
"2016-07-05","2"
"2016-06-17","7"
"2016-04-11","5"
"2016-05-22","3"
"2016-02-23","20"
"2016-09-06","6"
"2016-08-25","7"
"2016-03-18","6"
"2016-03-30","6"
"2016-03-05","15"
"2016-05-25","7"
"2016-08-29","4"
"2016-06-27","5"
"2016-04-16","11"
"2016-01-15","2"
"2016-08-05","4"
"2016-09-26","14"
"2016-08-27","6"
"2016-07-09","2"
"2016-06-14","3"
"2016-01-18","4"
"2016-08-07","6"
"2016-07-02","9"
"2016-04-20","9"
"2016-02-20","9"
"2016-09-24","5"
"2016-07-25","14"
"2016-08-03","5"
"2016-05-07","1"
"2016-05-20","12"
"2016-02-07","12"
"2016-05-15","2"
"2016-01-25","23"
"2016-06-21","2"
"2016-03-14","7"
"2016-04-23","10"
"2016-03-15","9"
"2016-05-09","3"
"2016-02-12","4"
"2016-01-28","10"
"2016-09-21","1"
"2016-04-25","6"
"2016-04-17","7"
"2016-03-04","11"
"2016-02-16","10"
"2016-02-01","1"
"2016-06-01","2"
"2016-06-02","11"
"2016-01-13","15"
"2016-05-19","1"
"2016-04-02","9"
"2016-05-11","6"
"2016-03-20","10"
"2016-03-26","2"
"2016-03-16","14"
"2016-06-23","28"
"2016-05-17","2"
"2016-04-01","2"
"2016-05-05","4"
"2016-01-09","1"
"2016-07-15","2"
"2016-01-05","1"
"2016-08-01","6"
"2016-06-16","2"
"2016-05-08","2"
"2016-07-20","17"
"2016-04-14","5"
"2016-01-08","5"
"2016-07-29","5"
"2016-04-19","27"
"2016-02-10","2"
"2016-09-25","1"
"2016-02-09","11"
"2016-08-18","1"
"2016-05-01","10"
"2016-02-17","10"
"2016-01-23","9"
"2016-03-02","19"
"2016-01-06","3"
"2016-05-26","6"
"2016-08-06","11"
"2016-04-08","4"
"2016-07-31","2"
"2016-09-02","3"
"2016-02-18","6"
"2016-08-28","5"
"2016-06-07","2"
"2016-05-16","4"
"2016-01-20","11"
"2016-04-12","9"
"2016-04-04","9"
"2016-09-07","6"
"2016-08-30","4"
"2016-04-13","2"
"2016-01-31","4"
"2016-06-10","6"
"2016-06-04","5"
"2016-01-22","23"
"2016-03-09","10"
"2016-02-21","3"
"2016-07-04","2"
"2016-02-25","10"
"2016-04-15","2"
"2016-03-06","9"
"2016-08-26","11"
"2016-07-19","11"
"2016-08-15","2"
"2016-07-26","51"
"2016-09-18","1"
"2016-05-30","3"
"2016-02-14","4"
"2016-05-10","14"
"2016-04-03","14"
"2016-03-07","1"
"2016-08-24","8"
"2016-07-23","9"
"2016-07-27","21"
"2016-01-24","9"
"2016-09-22","4"
"2016-07-30","10"
"2016-08-04","4"
"2016-01-26","13"
"2016-07-08","1"
"2016-01-16","2"
"2016-08-17","12"
"2016-06-19","6"
"2016-02-03","6"
"2016-06-20","1"
"2016-02-22","5"
"2016-06-24","5"
"2016-06-03","6"
"2016-06-11","8"
"2016-09-14","3"
"2016-04-22","8"
"2016-07-13","9"
"2016-05-12","3"
"2016-04-29","8"
"2016-02-05","10"
"2016-02-28","8"
"2016-02-19","12"
"2016-07-28","16"
"2016-04-10","4"
"2016-01-17","1"
"2016-08-23","4"
"2016-07-11","3"
"2016-03-29","2"
"2016-09-27","104"
"2016-07-22","17"
"2016-06-29","3"
"2016-04-27","11"
"2016-04-24","2"
"2016-01-19","6"
"2016-07-18","6"
"2016-01-27","2"
"2016-02-13","11"
"2016-06-05","1"
"2016-02-15","3"
"2016-06-25","2"
"2016-09-20","8"
"2016-06-15","8"
"2016-06-30","2"
"2016-06-26","9"
"2016-04-26","18"
"2016-02-29","8"
"2016-02-26","11"
"2016-02-06","7"
"2016-02-11","4"
"2016-07-12","8"
"2016-01-29","14"
"2016-07-16","5"
"2016-05-18","9"
"2016-02-24","5"
"2016-06-09","1"
"2016-01-14","5"
"2016-08-11","1"
"2016-07-07","7"
"2016-09-10","1"
"2016-06-18","8"
"2016-06-06","3"
"2016-05-31","2"
"2016-01-30","5"
"2016-09-15","9"
"2016-04-09","6"
"2016-03-11","9"
"2016-03-24","4"
"2016-09-16","8"
"2016-07-21","34"
"2016-06-13","1"
"2016-05-13","2"
"2016-03-08","3"
"2016-03-01","17"
"2016-04-05","9"
"2016-07-14","6"
"2016-03-31","6"
"2016-09-13","6"
"2016-03-19","21"
"2016-03-25","1"
"2016-04-21","6"
